,clue,solution,spiegazione
115,"superman, zolfo, santo, lisca, svezia",s,"1. Superman: La ""S"" di Superman è un simbolo che si riferisce al suo nome e alla sua identità, e che è noto per la sua forza e per la sua potenza.
2. Zolfo: Il simbolo chimico dello zolfo è ""S"", e che si riferisce alla sua posizione nella tavola periodica degli elementi, e che ne determina le sue proprietà e le sue caratteristiche.
3. Santo: La ""S"" di Santo è un simbolo che si riferisce alla sua santità e alla sua purezza, e che è noto per la sua spiritualità e per la sua fede.
4. Lisca: La ""S"" di Lisca è un simbolo che si riferisce alla sua forma e alla sua struttura, e che è noto per la sua resistenza e per la sua flessibilità.
5. Svezia: La ""S"" di Svezia è un simbolo che si riferisce al suo nome e alla sua identità, e che è noto per la sua storia e per la sua cultura. La ""S"" di Svezia è anche un simbolo della sua posizione geografica e della sua appartenenza all'Unione Europea, e che ne determina la sua importanza e la sua rilevanza.</s>"
116,"rosso, uccello, virtù, punto, claudia",cardinale,"1. Rosso: Il cardinale è un uccello noto per il suo piumaggio rosso brillante, e che è simbolo di passione e di vitalità.
2. Uccello: Il cardinale è un uccello che appartiene alla famiglia dei Cardinalidae, e che è noto per il suo canto melodioso e per la sua bellezza.
3. Virtù: Il cardinale è un simbolo di virtù e di perfezione, e che è noto per la sua saggezza e per la sua spiritualità.
4. Punto: Il cardinale è un punto di riferimento geografico che si trova in Italia, e che è noto per la sua bellezza e per la sua importanza storica e culturale.
5. Claudia: Claudia Cardinale è un'attrice italiana nota per la sua bellezza e per la sua bravura, e che è simbolo della cultura e del cinema italiano. Il nome ""Cardinale"" in questo caso non ha alcuna connessione con il significato precedente, ma è solo un cognome che condivide la stessa parola.</s>"
117,"pisello, felicità, squadra, salto in alto, piazza",materasso,"1. Pisello: Il materasso è un oggetto che si utilizza per dormire, e che è fatto di materiali morbidi e confortevoli, come il pisello.
2. Felicità: Il materasso è un simbolo di felicità e di comfort, e che è noto per la sua capacità di offrire un sonno riposante e ristoratore.
3. Squadra: Il materasso è un oggetto che si utilizza per il sonno e per il riposo, e che è spesso associato alla squadra di calcio o di basket, che utilizza il materasso come simbolo di riconoscimento e di appartenenza.
4. Salto in alto: Il materasso è un oggetto che si utilizza per il salto in alto, e che è noto per la sua capacità di attutire la caduta e di offrire un atterraggio morbido e sicuro.
5. Piazza: Il materasso è un oggetto che si utilizza per il sonno e per il riposo, e che è spesso associato alla piazza principale della città, dove si trovano i negozi e i locali che vendono materassi e altri oggetti per il sonno e per il riposo.</s>"
118,"fuori, spese, fisico, pubblico, matematica",esercizio,"1. Fuori: L'esercizio fisico è un'attività che si svolge all'aperto, e che è nota per la sua capacità di migliorare la salute e il benessere.
2. Spese: L'esercizio di contabilità è un'attività che si svolge in ufficio, e che è nota per la sua capacità di gestire le spese e di controllare i bilanci.
3. Fisico: L'esercizio fisico è un'attività che si svolge in palestra, e che è nota per la sua capacità di migliorare la forma fisica e la resistenza.
4. Pubblico: L'esercizio di democrazia è un'attività che si svolge in pubblico, e che è nota per la sua capacità di promuovere la partecipazione e la cittadinanza attiva.
5. Matematica: L'esercizio di algebra è un'attività che si svolge a scuola, e che è nota per la sua capacità di migliorare le competenze e le conoscenze matematiche.</s>"
119,"dottore, disco, trento, classe 1973, gesù",33,"1. Dottore: Il dottore è un professionista che ha studiato per 33 anni, e che è noto per la sua competenza e la sua esperienza.
2. Disco: Il disco in vinile ha 33 giri, e che è noto per la sua qualità del suono e la sua durata.
3. Trento: Trento è una città che si trova a 33 chilometri da Bolzano, e che è nota per la sua bellezza e la sua importanza storica e culturale.
4. Classe 1973: La classe 1973 ha 33 anni, e che è nota per la sua età e la sua appartenenza a una generazione specifica.
5. Gesù: Gesù ha vissuto per 33 anni, e che è noto per la sua vita e la sua opera spirituale e religiosa. Il numero 33 è anche simbolo della sua perfezione e della sua completezza, come il numero perfetto che rappresenta la sua età e la sua missione divina.</s>"
120,"cielo, domanda, paraguay, contratto, trono",assunzione,"1. Cielo: L'assunzione al cielo è un evento spirituale e religioso che si riferisce all'ascesa di Gesù al cielo, e che è noto per la sua importanza e la sua rilevanza.
2. Domanda: L'assunzione di un impiegato è un evento lavorativo che si riferisce all'assunzione di un nuovo dipendente, e che è noto per la sua importanza e la sua rilevanza.
3. Paraguay: L'assunzione di potere in Paraguay è un evento politico che si riferisce all'assunzione del potere da parte di un nuovo governo o di un nuovo leader, e che è noto per la sua importanza e la sua rilevanza.
4. Contratto: L'assunzione di un contratto è un evento legale che si riferisce all'assunzione di un nuovo contratto o di un nuovo accordo, e che è noto per la sua importanza e la sua rilevanza.
5. Trono: L'assunzione del trono è un evento politico e religioso che si riferisce all'assunzione del potere da parte di un nuovo re o di una nuova regina, e che è noto per la sua importanza e la sua rilevanza.</s>"
121,"desiderio, viva, vecchia, lingua, ritorno",fiamma,"1. Desiderio: La fiamma del desiderio è un simbolo di passione e di desiderio, e che è noto per la sua capacità di suscitare emozioni e sentimenti forti.
2. Viva: La fiamma viva è un simbolo di vita e di energia, e che è noto per la sua capacità di illuminare e di riscaldare.
3. Vecchia: La fiamma della vecchiaia è un simbolo di saggezza e di esperienza, e che è noto per la sua capacità di offrire consigli e di guidare.
4. Lingua: La fiamma della lingua è un simbolo di comunicazione e di espressione, e che è noto per la sua capacità di trasmettere idee e di creare connessioni.
5. Ritorno: La fiamma del ritorno è un simbolo di accoglienza e di ospitalità, e che è noto per la sua capacità di offrire calore e di creare un'atmosfera accogliente.</s>"
122,"arbore, gol, fratelli, batterie, alfiere",bandiera,"1. Arbore: La bandiera dell'albero è un simbolo di natura e di ambiente, e che è noto per la sua capacità di rappresentare la bellezza e la diversità della natura.
2. Gol: La bandiera del gol è un simbolo di sport e di competizione, e che è noto per la sua capacità di rappresentare la vittoria e la sconfitta.
3. Fratelli: La bandiera dei fratelli è un simbolo di unità e di fratellanza, e che è noto per la sua capacità di rappresentare l'uguaglianza e la solidarietà.
4. Batterie: La bandiera delle batterie è un simbolo di energia e di potenza, e che è noto per la sua capacità di rappresentare la forza e la resistenza.
5. Alfiere: La bandiera dell'alfiere è un simbolo di leadership e di autorità, e che è noto per la sua capacità di rappresentare il potere e la responsabilità.</s>"
123,"peso, pesca, pizzo, zitto, sambuca",mosca,"1. Peso: La mosca da pesca è un'esca utilizzata per la pesca, e che è nota per la sua capacità di attirare i pesci e di aumentare le possibilità di pesca.
2. Pesca: La mosca da pesca è un'esca utilizzata per la pesca, e che è nota per la sua capacità di attirare i pesci e di aumentare le possibilità di pesca.
3. Pizzo: La mosca del pizzo è un simbolo di eleganza e di raffinatezza, e che è noto per la sua capacità di rappresentare la bellezza e la delicatezza.
4. Zitto: La mosca del silenzio è un simbolo di calma e di tranquillità, e che è noto per la sua capacità di rappresentare la pace e la serenità.
5. Sambuca: La mosca della sambuca è un ingrediente utilizzato per la preparazione della sambuca, e che è noto per la sua capacità di conferire un sapore unico e particolare alla bevanda.</s>"
124,"polo, vino, gesto, neon, piano",nobile,"1. Polo: Il polo nobile è un simbolo di aristocrazia e di nobiltà, e che è noto per la sua capacità di rappresentare la ricchezza e il prestigio.
2. Vino: Il vino nobile è un simbolo di qualità e di eccellenza, e che è noto per la sua capacità di rappresentare la tradizione e la cultura.
3. Gesto: Il gesto nobile è un simbolo di cortesia e di eleganza, e che è noto per la sua capacità di rappresentare la gentilezza e la generosità.
4. Neon: Il neon nobile è un simbolo di modernità e di tecnologia, e che è noto per la sua capacità di rappresentare l'innovazione e la creatività.
5. Piano: Il piano nobile è un simbolo di architettura e di storia, e che è noto per la sua capacità di rappresentare la bellezza e la maestosità.</s>"
125,"petto, deserto, verbo, gira, popolo",voce,"1. Petto: La voce del petto è un simbolo di forza e di potenza, e che è noto per la sua capacità di rappresentare la passione e l'emozione.
2. Deserto: La voce del deserto è un simbolo di solitudine e di isolamento, e che è noto per la sua capacità di rappresentare la malinconia e la nostalgia.
3. Verbo: La voce del verbo è un simbolo di comunicazione e di espressione, e che è noto per la sua capacità di rappresentare la conoscenza e la comprensione.
4. Gira: La voce della giraffa è un simbolo di altezza e di lunghezza, e che è noto per la sua capacità di rappresentare la bellezza e la grazia.
5. Popolo: La voce del popolo è un simbolo di democrazia e di partecipazione, e che è noto per la sua capacità di rappresentare la libertà e l'uguaglianza.</s>"
126,"perdere, oro, automobile, goal, ladro",occasione,"1. Perdere: L'occasione persa è un simbolo di opportunità e di possibilità, e che è noto per la sua capacità di rappresentare la delusione e la frustrazione.
2. Oro: L'occasione d'oro è un simbolo di fortuna e di successo, e che è noto per la sua capacità di rappresentare la ricchezza e la prosperità.
3. Automobile: L'occasione di guida è un simbolo di libertà e di indipendenza, e che è noto per la sua capacità di rappresentare l'avventura e il divertimento.
4. Goal: L'occasione di goal è un simbolo di opportunità e di possibilità, e che è noto per la sua capacità di rappresentare la vittoria e la realizzazione.
5. Ladro: L'occasione del ladro è un simbolo di pericolo e di minaccia, e che è noto per la sua capacità di rappresentare la paura e l'insicurezza.</s>"
127,"testa, muro, maiale, pelle, stringere",cinta,"1. Testa: La cinta di testa è un simbolo di protezione e di sicurezza, e che è noto per la sua capacità di rappresentare la forza e la resistenza.
2. Muro: La cinta muraria è un simbolo di difesa e di sicurezza, e che è noto per la sua capacità di rappresentare la resistenza e la solidità.
3. Maiale: La cinta di maiale è un simbolo di qualità e di eccellenza, e che è noto per la sua capacità di rappresentare la tradizione e la cultura.
4. Pelle: La cinta di pelle è un simbolo di eleganza e di raffinatezza, e che è noto per la sua capacità di rappresentare la bellezza e la delicatezza.
5. Stringere: La cinta di stringere è un simbolo di vincolo e di legame, e che è noto per la sua capacità di rappresentare l'impegno e la responsabilità.</s>"
